response,predicted
"Step 1: Please print criteria
Step 2: The printing contract does not go to NB, then go to the list of the patient list that has been welcomed -> Find the company to see if the company has been welcomed KSK or not?
'+ If not, do not report to the KSK -> need to report to the user
+ If then, go to the medical record screen to check","<s> Step 1: Please print criteria
Step 2: The printing contract does not go to NB, then re -print the list</s>"
"1/ The reception list screen: Check if NB has a service.If so, check the reception status of KSK = have welcomed KSK or not?-> If not, receive.If then set it to the case below
2/ Has the account checked the specialties according to the value code in the general settings have the key chuyen_khoa?
3/ Check if the examination service in the list of medical examination services has been assigned to KSK specialties","<s> 1/ The reception list screen: Check if NB has a service.If so, check the reception status of KSK or not?-> If not, receive.If then set it to the case below
2/ Has the account checked the specialties according to</s>"
"1/ Ask for the get time that the user reports -> Check the implementation time (implementation time) of the service at the medical record screen, press the eye icon to see, see satisfied timeLis Get space yet?
(1.1) If not, then report the right time
(1.2) If then check the case: Has the service category were set up the connection unit?If set up, then check the implementation room of the service is set out of the hospital = True or False -> True, the default does not display (need to change the settings and the repair impact of the implementation room to eat according to the designnew establishment), FASLE will display the side Lis
+ If it is true (1.1), (1.2), then report the ISOFH check","<s> 1/ Ask for the get time that the user reports -> Check the implementation time (implementation time) of the service at the medical record screen, press the eye icon to see, see satisfied timeLis Get space yet?
(1.1) If</s>"
"Processing: Please report the get specified by LIS and RESPONSE Returns to see at first Get, the RESPOne returns
The main reason: Because at the time when GET indicates that the Payment status of HIS = has not been paid -> users can delete the order and re -appoint that service, the test ID has been changedWhen returning the results, it will not be found to pay (ISOFH explained to the PK side)","<s> Processing: Please report the get specified by LIS and Returns to see at first Get, the RESPOne returns
The main reason: Because at the time when GET indicates that the Payment status of HIS = has not been</s>"
"Cause: Because Lis Set lacks service status, it is lacked
Solution: Lis map again
Status: Lis has completed processing","<s> Handle:
1. Cause: Because Lis Set lacks service status, it is lacked
2. Lis map again
Status: Lis has completed processing</s>"
"Cause: Due to the Enter the ENTERT FOR LIS Convert, it is affected to drop some packets when updating the results to His","<s> Cause: Due to the Enter the ENTERT FOR LIS Convert, it is affected to drop some packets when updating the results to His</s>"
Solution: Receiving screen -> Find NB and click the cancellation button -> Receive back,<s> Solution of this problem is 650ac3df600d9900a59954c2</s>
"Processing: PK exchange on the common group: Mirai Clinic His-ri-racs so that the two sides of His, Pacs will know the support information
Details: When His, Pacs received information to clarify:
With His: Please report and reponse when PACS returns successful results to check
For PACS: Provide newsletters, reposne with the time to return the results to HIS check log on his side
After completion: Report the results to the PK side","<s> Processing: PK exchange on the common group: Mirai Clinic His-ri-racs so that the two sides of His, Pacs will know the support information
Details: When His, the information to clarify:
With His</s>"
"Cause: Because the user is wrongly accumulated icon does not perform in the screen of the Tab DVKT tab -> Payment status changes from normal => does not perform
So Pacs returned the results to his error
Processing: DEV report in return status = normal to return the results of guests
Status: Redented only for system administration to confirm not to perform -> no more accommodation errors as notified to the case of payment status = no implementation","<s> Cause: Because the user is wrongly accumulated icon does not perform in the screen of the Tab DVKT tab -> Payment status changes from normal => do not perform
So Pacs returned the results to his error
Process</s>"
"Check if NB is under 18 years old?Because patients under 18 years old, there is only 1 form A4.
And over the age of 18 to choose the form: A3 or A4","<s> There is 1. Go to the list of inpatient patients
2. Choose the right work department
3. Use filters, filter the status of the status into 'all' and press
4. Proceed to find NB through the name, code</s>"
