_id,examples[0],examples[1],examples[2],examples[3],examples[4],examples[5],examples[6],examples[7],response[0],response[1],response[2],response[3],updated_at,created_at
650ac3df600d9900a59954bc,KSK01 in không ra dữ liệu NB,KSK01 in không ra dữ liệu NB,,,,,,,"Bước 1: Xin tiêu chí in\nBước 2: Hợp đồng in không ra NB thì vào màn hình danh sách người bệnh đã tiếp đón --> Tìm theo công ty xem công ty đó đã được Tiếp đón KSK hay chưa?\n'+ Nếu chưa thì không lên báo cáo KSK --> Cần báo người dùng tiếp nhận lại\n+ Nếu rồi, vào màn hình Hồ sơ bệnh án check tiếp",,,,2023-10-07T19:18:15.184Z,
650ac3df600d9900a59954bd,Màn hình khám bệnh không hiển thị các chuyên khoa khám,Màn hình khám bệnh không hiển thị chuyên khoa khám,,,,,,,1/ Màn hình Danh sách NB đã tiếp đón: Kiểm tra xem NB đã có dịch vụ khám hay không? Nếu có thì kiểm tra trạng thái Tiếp đón KSK= Đã tiếp đón KSK hay chưa? --> Nếu chưa thì tiếp nhận. Nếu rồi set tới case bên dưới\n2/ Kiểm tra tài khoản đã được gán các chuyên khoa theo mã giá trị trong các thiết lập chung có key Chuyen_khoa hay chưa?\n3/ Kiểm tra xem dịch vụ khám trong danh mục dịch vụ khám bệnh đã được gán các chuyên khoa KSK hay chưa,,,,2023-10-07T18:48:51.780Z,
650ac3df600d9900a59954be,Không tìm thấy NB để tiếp nhận lấy mẫu,Không thể tìm thấy NB để tiếp nhận lấy mẫu,,,,,,,"1/ Xin thời gian GET chỉ định mà người dùng báo --> Kiểm tra thời gian thực hiện (thời gian thực hiện) của dịch vụ tại màn hình Hồ sơ bệnh án, nhấn icon con mắt để xem, xem đã thỏa mãn thời gian LIS GET chưa?\n(1.1) Nếu chưa thì báo lại thời gian đúng\n(1.2) Nếu rồi check tiếp tới case: danh mục dịch vụ đã được thiết lập đơn vị kết nối chưa? Nếu thiết lập rồi thì check tiếp Phòng thực hiện của dịch vụ có được thiết lập Ngoại viện= true hay False --> true thì mặc định k hiển thị (cần đổi lại thiết lập và tác động sửa phòng thực hiện để ăn theo thiết lập mới), fasle thì sẽ hiển thị bên LIS\n+ Nếu đúng hết (1.1), (1.2) thì báo lại phía ISOFH check lại",,,,,
650ac3df600d9900a59954bf,Không thấy id bản ghi dịch vụ để trả kết quả,Không thấy id của bản ghi dịch vụ để trả kết quả ,,,,,,,Xử lý: xin bản tin GET chỉ định của LIS và response trả về xem lúc đầu GET thì respone trả về sao\nNguyên nhân chính: Do lúc GET chỉ định bên LIS trạng thái thanh toán dịch vụ của HIS= Chưa thanh toán --> người dùng có thể xóa chỉ định và chỉ định lại dịch vụ đó thì id bản ghi xét nghiệm đã bị thay đổi khi trả kết quả sẽ không tìm thấy để trả (ISOFH đã giải thích với phía PK),,,,,
650ac3df600d9900a59954c0,Trường hợp LIS trả thiếu KQ cho HIS với dịch vụ FOBT,LIS trả thiếu KQ cho HIS với dịch vụ FOBT,,,,,,,Nguyên nhân: do LIS set thiếu trạng thái dịch vụ nên bị trả thiếu\nGiải pháp: LIS map lại KQ trả\nTrạng thái: LIS đã hoàn thành xử lý,,,,,
650ac3df600d9900a59954c1,Trả thiếu kết quả cho NB không phải FOBT,Trả thiếu cho NB không phải FOBT,,,,,,,Nguyên nhân: do cấu trúc bản tin có kí tự enter bên LIS convert lại nên bị ảnh hưởng tới rớt 1 số gói tin khi cập nhật kết quả sang HIS,,,,,
650ac3df600d9900a59954c2,Khi tiếp nhận từ màn hình Tiếp nhận --> không đẩy NB sang PACS,Tiếp nhận từ màn hình Tiếp nhận --> không đẩy NB sang PACS,,,,,,,Giải pháp: màn hình Tiếp nhận --> tìm NB và nhấn button hủy tiếp nhận --> Tiếp nhận lại,,,,,
650ac3df600d9900a59954c3,Trường hợp trả kết quả từ PACS - HIS --> hệ thống PACS báo: Finalize trên PACS rồi nhưng HIS chưa nhận được kết quả,Trả kết quả từ PACS - HIS --> hệ thống PACS báo: Finalize trên PACS rồi nhưng HIS chưa nhận được kết quả,,,,,,,"Xử lý: Phía PK trao đổi trên group chung: Mirai Clinic HIS-RIS-PACS để 2 bên HIS, PACS nắm được thông tin hỗ trợ\nChi tiết: khi HIS, PACS nhận thông tin cần làm rõ:\nVới HIS: xin bản tin và reponse khi PACS trả kết quả thành công để check lại\nVới PACS: cung cấp bản tin,reposne kèm thời gian trả kết quả để HIS check log bên HIS\nSau khi hoàn thành: báo lại kết quả cho phía PK",,,,,
650ac3df600d9900a59954c4,Trường hợp trả kết quả từ PACS - HIS --> hệ thống báo lỗi: dịch vụ ở trạng thái chờ hoàn/ đã hoàn,Trả kết quả từ PACS - HIS --> hệ thống báo lỗi: dịch vụ ở trạng thái chờ hoàn/ đã hoàn,,,,,,,Nguyên nhân: do người dùng bị tích nhầm icon Không thực hiện ở màn hình Hồ sơ bệnh án tab DVKT --> trạng thái thanh toán đổi từ Thường => Không thực hiện\nnên PACS trả kết quả sang HIS thì báo lỗi\nXử lý: báo dev đổi lại trạng thái = Thường để trả KQ quả khách\nHiện trạng: đã phân lại chỉ để quản trị hệ thống mới có quyền xác nhận Không thực hiện --> đã không còn lỗi trả KQ như thông báo với trường hợp trạng thái thanh toán= Không thực hiện,,,,,
650ac3df600d9900a59954c5,Có NB Không in ra giấy ksk form A3,Có NB Không in ra giấy ksk form A3,,,,,,,Kiểm tra xem NB có dưới 18 tuổi không? vì người bệnh dưới 18 tuổi thì chỉ có 1 form A4.\nCòn trên 18 tuổi thì mới đc lựa chọn form in: a3 hoặc a4,,,,,
